% Model,cables-simple.mph
% Version,COMSOL 5.5.0.359
% Date,"Sep 28 2023, 12:01"
% Table,Evaluation Group 1 -
% Twarm,contact (mm),"Temperature (K), Point: 1","Twarm, Point: 1","Tcold, Point: 1","T-Tcold (K), Point: 1","contact (cm), Point: 1"
21,4,20.015624807204535,21,20,0.015624807204535074,0.4
21,5,20.01055422945115,21,20,0.0105542294511487,0.5
21,6,20.007206972680617,21,20,0.007206972680616985,0.6
21,7,20.00494588513476,21,20,0.0049458851347594646,0.7000000000000001
21,8,20.003402474754967,21,20,0.003402474754967244,0.8
21,9.000000000000002,20.002343568931035,21,20,0.002343568931035378,0.9000000000000001
21,10,20.00161533629417,21,20,0.0016153362941686567,1
21,11,20.001113918702586,21,20,0.0011139187025861474,1.0999999999999999
21,12,20.000768435219147,21,20,7.684352191468236E-4,1.2
21,13.000000000000002,20.00053026344412,21,20,5.302634441193277E-4,1.3
21,14,20.000366015384603,21,20,3.660153846034575E-4,1.4000000000000001
21,15,20.00025272594792,21,20,2.5272594792014047E-4,1.5
21,16,20.00017455384031,21,20,1.7455384030995447E-4,1.6
21,17,20.000120598693755,21,20,1.2059869375491417E-4,1.7000000000000002
21,18.000000000000004,20.000083349883994,21,20,8.334988399383292E-5,1.8000000000000003
21,19,20.000057625878927,21,20,5.76258789273254E-5,1.9
21,20,20.00003985324823,21,20,3.985324822863845E-5,2
22,4,20.03202374627462,22,20,0.032023746274621345,0.4
22,5,20.02163307761579,22,20,0.02163307761578892,0.5
22,6,20.014773075137395,22,20,0.014773075137394898,0.6
22,7,20.0101387014391,22,20,0.010138701439100117,0.7000000000000001
22,8,20.006975077888953,22,20,0.0069750778889527965,0.8
22,9.000000000000002,20.00480445959331,22,20,0.004804459593309218,0.9000000000000001
22,10,20.00331161768562,22,20,0.0033116176856182733,1
22,11,20.00228370305281,22,20,0.0022837030528108926,1.0999999999999999
22,12,20.001575437769915,22,20,0.001575437769915311,1.2
22,13.000000000000002,20.001087158563905,22,20,0.0010871585639051773,1.3
22,14,20.000750425135276,22,20,7.504251352763447E-4,1.4000000000000001
22,15,20.00051816069546,22,20,5.181606954600682E-4,1.5
22,16,20.000357890822617,22,20,3.5789082261672434E-4,1.6
