% Model,cables-simple.mph
% Version,COMSOL 5.5.0.359
% Date,"Sep 27 2023, 19:20"
% Table,Evaluation Group 1 -
% Twarm,contact (mm),"Temperature (K), Point: 1","Twarm, Point: 1","Tcold, Point: 1","T-Tcold (K), Point: 1","contact (cm), Point: 1"
7,4,6.002315059368563,7,6,0.0023150593685627996,0.4
7,5,6.001138374728048,7,6,0.0011383747280477863,0.5
7,6,6.000560708691614,7,6,5.607086916139536E-4,0.6
7,7,6.00027631687002,7,6,2.7631687002038774E-4,0.7000000000000001
7,8,6.00013621854531,7,6,1.3621854531020716E-4,0.8
7,9.000000000000002,6.000067169530262,7,6,6.71695302623121E-5,0.9000000000000001
7,10,6.000033129832684,7,6,3.3129832684331006E-5,1
7,11,6.00001634504618,7,6,1.6345046179644385E-5,1.0999999999999999
7,12,6.000008066510431,7,6,8.06651043117057E-6,1.2
7,13.000000000000002,6.000003981957795,7,6,3.981957794607638E-6,1.3
7,14,6.000001966159749,7,6,1.9661597487896643E-6,1.4000000000000001
7,15,6.000000971167145,7,6,9.71167144925289E-7,1.5
7,16,6.000000479846103,7,6,4.798461032962109E-7,1.6
7,17,6.000000237162843,7,6,2.371628431419026E-7,1.7000000000000002
7,18.000000000000004,6.000000117259872,7,6,1.1725987203448085E-7,1.8000000000000003
7,19,6.000000057998301,7,6,5.799830127273253E-8,1.9
7,20,6.000000028694909,7,6,2.8694908671411667E-8,2
8,4,6.005049022771401,8,6,0.00504902277140129,0.4
8,5,6.002483007498106,8,6,0.002483007498105927,0.5
8,6,6.001223093115481,8,6,0.0012230931154810776,0.6
8,7,6.000602768032795,8,6,6.027680327953533E-4,0.7000000000000001
8,8,6.000297163226293,8,6,2.97163226292696E-4,0.8
8,9.000000000000002,6.000146536274091,8,6,1.4653627409089154E-4,0.9000000000000001
8,10,6.000072277858195,8,6,7.22778581954131E-5,1
8,11,6.000035660316598,8,6,3.566031659829605E-5,1.0999999999999999
8,12,6.000017599395169,8,6,1.7599395168765852E-5,1.2
8,13.000000000000002,6.000008688046161,8,6,8.68804616072083E-6,1.3
8,14,6.000004290009282,8,6,4.290009282037488E-6,1.4000000000000001
