% Model,cables-simple.mph
% Version,COMSOL 5.5.0.359
% Date,"Sep 28 2023, 13:02"
% Table,Evaluation Group 1 -
% Twarm,contact (mm),"Temperature (K), Point: 1","Twarm, Point: 1","Tcold, Point: 1","T-Tcold (K), Point: 1","contact (cm), Point: 1"
20,4,4.051277266801165,20,4,0.051277266801164956,0.4
20,5,4.021227477173626,20,4,0.02122747717362561,0.5
20,6,4.00877921832218,20,4,0.008779218322180427,0.6
20,7,4.003629282229582,20,4,0.0036292822295820315,0.7000000000000001
20,8,4.001500427531057,20,4,0.001500427531056836,0.8
20,9.000000000000002,4.000620403596278,20,4,6.204035962777965E-4,0.9000000000000001
20,10,4.000256591174995,20,4,2.5659117499543527E-4,1
20,11,4.000106154944197,20,4,1.0615494419674576E-4,1.0999999999999999
20,12,4.000043933223019,20,4,4.39332230186551E-5,1.2
20,13.000000000000002,4.00001818753923,20,4,1.8187539230218874E-5,1.3
20,14,4.0000075315081185,20,4,7.531508118496788E-6,1.4000000000000001
20,15,4.000003120133665,20,4,3.1201336652131317E-6,1.5
20,16,4.000001293070418,20,4,1.2930704178515384E-6,1.6
20,17,4.00000053608385,20,4,5.360838501999865E-7,1.7000000000000002
20,18.000000000000004,4.000000222347215,20,4,2.2234721530622892E-7,1.8000000000000003
20,19,4.000000092262983,20,4,9.226298303133262E-8,1.9
20,20,4.000000038297146,20,4,3.8297145898980034E-8,2
25,4,4.086569239506328,25,4,0.08656923950632844,0.4
25,5,4.03593210164275,25,4,0.03593210164275007,0.5
25,6,4.014882918082493,25,4,0.014882918082492758,0.6
25,7,4.006158806613854,25,4,0.00615880661385404,0.7000000000000001
25,8,4.002548312992432,25,4,0.002548312992431967,0.8
25,9.000000000000002,4.001054498304271,25,4,0.0010544983042706235,0.9000000000000001
25,10,4.000436455879876,25,4,4.364558798757301E-4,1
25,11,4.000180704406452,25,4,1.8070440645168162E-4,1.0999999999999999
25,12,4.000074844110908,25,4,7.484411090796783E-5,1.2
25,13.000000000000002,4.00003100872759,25,4,3.100872759009832E-5,1.3
25,14,4.000012851344591,25,4,1.2851344591169322E-5,1.4000000000000001
25,15,4.000005328514083,25,4,5.3285140833025935E-6,1.5
25,16,4.000002210204314,25,4,2.210204313790598E-6,1.6
25,17,4.00000091713339,25,4,9.171333896773604E-7,1.7000000000000002
25,18.000000000000004,4.000000380744173,25,4,3.807441730785399E-7,1.8000000000000003
25,19,4.000000158140226,25,4,1.58140226247383E-7,1.9
25,20,4.000000065706992,25,4,6.570699184749174E-8,2
30,4,4.132610543691458,30,4,0.13261054369145775,0.4
30,5,4.055225344090976,30,4,0.055225344090976236,0.5
30,6,4.022915439416545,30,4,0.02291543941654517,0.6
30,7,4.009494035268722,30,4,0.009494035268722278,0.7000000000000001
30,8,4.003931969604934,30,4,0.003931969604933805,0.8
30,9.000000000000002,4.001628421282538,30,4,0.0016284212825379285,0.9000000000000001
30,10,4.000674548727453,30,4,6.745487274528728E-4,1
30,11,4.0002795084194585,30,4,2.7950841945845184E-4,1.0999999999999999
30,12,4.000115862022677,30,4,1.1586202267732659E-4,1.2
30,13.000000000000002,4.0000480435864265,30,4,4.804358642651607E-5,1.3
30,14,4.000019928785921,30,4,1.992878592105285E-5,1.4000000000000001
30,15,4.0000082704203335,30,4,8.270420333467143E-6,1.5
30,16,4.000003433636858,30,4,3.4336368583964827E-6,1.6
30,17,4.000001426156992,30,4,1.4261569916129702E-6,1.7000000000000002
30,18.000000000000004,4.000000592643354,30,4,5.926433539471532E-7,1.8000000000000003
30,19,4.0000002463985265,30,4,2.463985264711255E-7,1.9
30,20,4.000000102485699,30,4,1.0248569903836824E-7,2
35,4,4.190116157072174,35,4,0.19011615707217366,0.4
35,5,4.079492403515871,35,4,0.07949240351587061,0.5
35,6,4.033054815511584,35,4,0.0330548155115844,0.6
35,7,4.013713068213116,35,4,0.01371306821311613,0.7000000000000001
35,8,4.005684959478859,35,4,0.005684959478858609,0.8
35,9.000000000000002,4.002356485129805,35,4,0.0023564851298045753,0.9000000000000001
35,10,4.000976956242697,35,4,9.769562426971135E-4,1
35,11,4.000405153206923,35,4,4.0515320692335877E-4,1.0999999999999999
35,12,4.000168085256354,35,4,1.6808525635436666E-4,1.2
35,13.000000000000002,4.000069758928395,35,4,6.97589283946698E-5,1.3
35,14,4.000028962443338,35,4,2.8962443337832156E-5,1.4000000000000001
35,15,4.0000120303564835,35,4,1.2030356483450078E-5,1.5
35,16,4.000004999343175,35,4,4.999343174993953E-6,1.6
35,17,4.000002078479731,35,4,2.07847973143771E-6,1.7000000000000002
35,18.000000000000004,4.000000864577666,35,4,8.645776663485094E-7,1.8000000000000003
35,19,4.000000359823036,35,4,3.59823036255591E-7,1.9
35,20,4.000000149823001,35,4,1.4982300111654467E-7,2
40,4,4.259720783903013,40,4,0.25972078390301334,0.4
40,5,4.109112043686395,40,4,0.1091120436863946,0.5
40,6,4.04548197699459,40,4,0.04548197699458978,0.6
40,7,4.018896295802586,40,4,0.018896295802585783,0.7000000000000001
40,8,4.007842008423899,40,4,0.007842008423899038,0.8
40,9.000000000000002,4.00325353333167,40,4,0.003253533331670333,0.9000000000000001
40,10,4.001349998453982,40,4,0.001349998453981982,1
40,11,4.000560326347486,40,4,5.603263474860398E-4,1.0999999999999999
40,12,4.000232655729014,40,4,2.326557290137643E-4,1.2
40,13.000000000000002,4.000096640405622,40,4,9.664040562196163E-5,1.3
40,14,4.000040159101186,40,4,4.0159101185821555E-5,1.4000000000000001
40,15,4.000016696362272,40,4,1.6696362272305976E-5,1.5
40,16,4.0000069448304805,40,4,6.944830480470898E-6,1.6
40,17,4.0000028900914195,40,4,2.8900914195162386E-6,1.7000000000000002
