% Model,cables-simple.mph
% Version,COMSOL 5.5.0.359
% Date,"Sep 28 2023, 10:45"
% Table,Evaluation Group 1 -
% Twarm,contact (mm),"Temperature (K), Point: 1","Twarm, Point: 1","Tcold, Point: 1","T-Tcold (K), Point: 1","contact (cm), Point: 1"
11,4,10.00557060288747,11,10,0.005570602887470244,0.4
11,5,10.003215143549921,11,10,0.003215143549921251,0.5
11,6,10.001863845713133,11,10,0.0018638457131334718,0.6
11,7,10.001082146514964,11,10,0.0010821465149639664,0.7000000000000001
11,8,10.000628741235719,11,10,6.287412357188771E-4,0.8
11,9.000000000000002,10.000365442530493,11,10,3.654425304926434E-4,0.9000000000000001
11,10,10.000212467492796,11,10,2.1246749279590915E-4,1
11,11,10.000123563495274,11,10,1.2356349527387067E-4,1.0999999999999999
11,12,10.000071881594735,11,10,7.188159473514588E-5,1.2
11,13.000000000000002,10.000041827104853,11,10,4.1827104853453534E-5,1.3
11,14,10.000024345128224,11,10,2.434512822446777E-5,1.4000000000000001
11,15,10.00001417468224,11,10,1.4174682240408742E-5,1.5
11,16,10.000008255531167,11,10,8.255531167122854E-6,1.6
11,17,10.000004809639037,11,10,4.809639037262059E-6,1.7000000000000002
11,18.000000000000004,10.000002803074352,11,10,2.8030743521867407E-6,1.8000000000000003
11,19,10.000001634232778,11,10,1.634232777547595E-6,1.9
11,20,10.00000095306644,11,10,9.530664399903799E-7,2
12,4,10.011767061225234,12,10,0.011767061225233633,0.4
12,5,10.006792235154482,12,10,0.006792235154481574,0.5
12,6,10.003937799832165,12,10,0.003937799832165467,0.6
12,7,10.002286397861285,12,10,0.002286397861285039,0.7000000000000001
12,8,10.001328477104765,12,10,0.0013284771047654687,0.8
12,9.000000000000002,10.000772172572669,12,10,7.721725726685946E-4,0.9000000000000001
12,10,10.000448951191695,12,10,4.489511916947464E-4,1
12,11,10.000261100221431,12,10,2.611002214312208E-4,1.0999999999999999
12,12,10.000151895426319,12,10,1.5189542631866004E-4,1.2
12,13.000000000000002,10.00008838828157,12,10,8.838828157031742E-5,1.3
12,14,10.000051446873854,12,10,5.1446873854388286E-5,1.4000000000000001
12,15,10.000029955075815,12,10,2.9955075815379928E-5,1.5
12,16,10.000017446670132,12,10,1.7446670131704423E-5,1.6
12,17,10.000010164611181,12,10,1.0164611181195937E-5,1.7000000000000002
12,18.000000000000004,10.00000592412236,12,10,5.9241223606676385E-6,1.8000000000000003
12,19,10.000003453939843,12,10,3.453939843467424E-6,1.9
12,20,10.000002014355182,12,10,2.0143551822116024E-6,2
13,4,10.018600165340809,13,10,0.018600165340808772,0.4
13,5,10.010737737757575,13,10,0.010737737757574806,0.5
13,6,10.00622570065863,13,10,0.006225700658630373,0.6
13,7,10.003615019923126,13,10,0.0036150199231261837,0.7000000000000001
13,8,10.00210054018248,13,10,0.0021005401824805148,0.8
13,9.000000000000002,10.001220972120525,13,10,0.0012209721205245216,0.9000000000000001
13,10,10.00070990947775,13,10,7.099094777505144E-4,1
13,11,10.000412878742504,13,10,4.1287874250350853E-4,1.0999999999999999
13,12,10.000240198828054,13,10,2.4019882805426107E-4,1.2
13,13.000000000000002,10.000139775716766,13,10,1.397757167662661E-4,1.3
13,14,10.000081359268886,13,10,8.13592688864162E-5,1.4000000000000001
13,15,10.00004737286143,13,10,4.737286142919572E-5,1.5
13,16,10.000027592000205,13,10,2.7592000204634815E-5,1.6
13,17,10.000016075822515,13,10,1.6075822514949323E-5,1.7000000000000002
13,18.000000000000004,10.000009369548025,13,10,9.369548024551477E-6,1.8000000000000003
13,19,10.000005462883474,13,10,5.462883473583702E-6,1.9
13,20,10.000003186077862,13,10,3.1860778619829944E-6,2
14,4,10.026078402154878,14,10,0.026078402154878333,0.4
14,5,10.015056813245133,14,10,0.015056813245132972,0.5
14,6,10.008730643264318,14,10,0.00873064326431816,0.6
14,7,10.00506985150013,14,10,0.0050698515001297295,0.7000000000000001
14,8,10.002946016780312,14,10,0.002946016780311922,0.8
14,9.000000000000002,10.00171248089031,14,10,0.0017124808903101751,0.9000000000000001
14,10,10.000995718434748,14,10,9.95718434747772E-4,1
14,11,10.000579119983534,14,10,5.791199835343264E-4,1.0999999999999999
14,12,10.00033692154214,14,10,3.3692154213937897E-4,1.2
14,13.000000000000002,10.000196065612087,14,10,1.9606561208718176E-4,1.3
14,14,10.00011412708255,14,10,1.141270825506524E-4,1.4000000000000001
14,15,10.000066454351018,14,10,6.645435101759745E-5,1.5
14,16,10.000038706992656,14,10,3.8706992656400985E-5,1.6
14,17,10.000022552374508,14,10,2.255237450832226E-5,1.7000000000000002
14,18.000000000000004,10.000013144708763,14,10,1.3144708763235258E-5,1.8000000000000003
14,19,10.00000766421884,14,10,7.664218840019998E-6,1.9
14,20,10.000004470094128,14,10,4.470094127739799E-6,2
15,4,10.034207936666604,15,10,0.034207936666604155,0.4
15,5,10.019753311067834,15,10,0.01975331106783429,0.5
15,6,10.011454972610982,15,10,0.011454972610982495,0.6
15,7,10.006652300182262,15,10,0.006652300182262039,0.7000000000000001
15,8,10.003865744484658,15,10,0.0038657444846581512,0.8
15,9.000000000000002,10.002247194856515,15,10,0.0022471948565154776,0.9000000000000001
15,10,10.001306670979378,15,10,0.0013066709793783104,1
15,11,10.000759996714295,15,10,7.599967142954966E-4,1.0999999999999999
15,12,10.000442165412625,15,10,4.421654126254282E-4,1.2
15,13.000000000000002,10.0002573180024,15,10,2.5731800240080815E-4,1.3
15,14,10.000149785713443,15,10,1.4978571344315128E-4,1.4000000000000001
15,15,10.000087220423564,15,10,8.722042356446025E-5,1.5
15,16,10.00005080396795,15,10,5.080396794987507E-5,1.6
15,17,10.00002960154131,15,10,2.9601541310597668E-5,1.7000000000000002
15,18.000000000000004,10.000017253902087,15,10,1.7253902086622475E-5,1.8000000000000003
15,19,10.000010060486233,15,10,1.006048623253264E-5,1.9
15,20,10.000005867906724,15,10,5.867906724077443E-6,2
16,4,10.042992584953941,16,10,0.042992584953941204,0.4
16,5,10.024829751477377,16,10,0.02482975147737676,0.5
16,6,10.014400273356436,16,10,0.014400273356436344,0.6
16,7,10.008363336223054,16,10,0.008363336223053963,0.7000000000000001
16,8,10.00486030849992,16,10,0.004860308499919697,0.8
16,9.000000000000002,10.00282546407684,16,10,0.002825464076840589,0.9000000000000001
16,10,10.001642975570515,16,10,0.0016429755705154037,1
16,11,10.000955632783851,16,10,9.556327838513567E-4,1.0999999999999999
16,12,10.000556003932223,16,10,5.560039322229926E-4,1.2
16,13.000000000000002,10.000323576486643,16,10,3.235764866431623E-4,1.3
16,14,10.000188361030137,16,10,1.8836103013697425E-4,1.4000000000000001
16,15,10.000109686430276,16,10,1.0968643027631231E-4,1.5
16,16,10.000063892039956,16,10,6.389203995560422E-5,1.6
16,17,10.000037228736534,16,10,3.7228736534444806E-5,1.7000000000000002
16,18.000000000000004,10.000021700345359,16,10,2.1700345358866002E-5,1.8000000000000003
16,19,10.000012653599045,16,10,1.26535990450094E-5,1.9
16,20,10.000007380654415,16,10,7.380654414745891E-6,2
17,4,10.05243377915683,17,10,0.05243377915683034,0.4
17,5,10.030287303627732,17,10,0.030287303627732243,0.5
17,6,10.017567356487664,17,10,0.017567356487663943,0.6
17,7,10.010203484490258,17,10,0.010203484490258319,0.7000000000000001
17,8,10.005930036839645,17,10,0.005930036839645325,0.8
17,9.000000000000002,10.003447489832316,17,10,0.0034474898323164638,0.9000000000000001
17,10,10.002004754511846,17,10,0.0020047545118462295,1
17,11,10.001166102114684,17,10,0.0011661021146842643,1.0999999999999999
17,12,10.000678481645775,17,10,6.784816457745535E-4,1.2
17,13.000000000000002,10.00039486787466,17,10,3.948678746592549E-4,1.3
17,14,10.000229869161238,17,10,2.2986916123812762E-4,1.4000000000000001
17,15,10.000133862070577,17,10,1.3386207057664024E-4,1.5
17,16,10.000077977042004,17,10,7.797704200385169E-5,1.6
17,17,10.000045437469373,17,10,4.543746937279991E-5,1.7000000000000002
17,18.000000000000004,10.0000264861505,17,10,2.6486150499493988E-5,1.8000000000000003
17,19,10.000015444828245,17,10,1.544482824478166E-5,1.9
17,20,10.00000900910301,17,10,9.009103010271247E-6,2
18,4,10.062530524838062,18,10,0.06253052483806165,0.4
18,5,10.036125758755038,18,10,0.03612575875503765,0.5
18,6,10.020956242898462,18,10,0.020956242898462207,0.6
18,7,10.012172814561207,18,10,0.012172814561207446,0.7000000000000001
18,8,10.007074994405105,18,10,0.007074994405105173,0.8
18,9.000000000000002,10.004113321103853,18,10,0.004113321103853096,0.9000000000000001
18,10,10.00239204186115,18,10,0.0023920418611496075,1
18,11,10.001391427463206,18,10,0.0013914274632060852,1.0999999999999999
18,12,10.000809613416655,18,10,8.09613416654642E-4,1.2
18,13.000000000000002,10.000471201752337,18,10,4.712017523367251E-4,1.3
18,14,10.000274316238425,18,10,2.743162384248876E-4,1.4000000000000001
18,15,10.000159751239478,18,10,1.597512394777567E-4,1.5
18,16,10.000093061436576,18,10,9.306143657639154E-5,1.6
18,17,10.00005422929063,18,10,5.42292906295927E-5,1.7000000000000002
18,18.000000000000004,10.000031612291494,18,10,3.161229149384326E-5,1.8000000000000003
18,19,10.000018434783922,18,10,1.8434783921605913E-5,1.9
18,20,10.000010753633953,18,10,1.0753633953086705E-5,2
19,4,10.073279351096009,19,10,0.07327935109600858,0.4
19,5,10.04234349864089,19,10,0.042343498640889266,0.5
19,6,10.02456614402759,19,10,0.024566144027589942,0.6
19,7,10.014270929028505,19,10,0.014270929028505464,0.7000000000000001
19,8,10.008294975988878,19,10,0.008294975988878406,0.8
19,9.000000000000002,10.004822850408774,19,10,0.004822850408773505,0.9000000000000001
19,10,10.00280478095951,19,10,0.002804780959509756,1
19,11,10.001631578955568,19,10,0.0016315789555676474,1.0999999999999999
