Sensor Model:   CX-1070-CU-HT-4L
Serial Number:  X165406
Interpolation Method:   Lagrangian
SetPoint Limit: 325.0      (Kelvin)
Data Format:    4      (Log Ohms/Kelvin)
Number of Breakpoints:   47

No.   Units      Temperature (K)

  1  2.01977       325.0
  2  2.02128       324.0
  3  2.04467       309.0
  4  2.06945       294.0
  5  2.09575       279.0
  6  2.12370       264.0
  7  2.15349       249.0
  8  2.18531       234.0
  9  2.21939       219.0
 10  2.25601       204.0
 11  2.29550       189.0
 12  2.33827       174.0
 13  2.38480       159.0
 14  2.43576       144.0
 15  2.49201       129.0
 16  2.55478       114.0
 17  2.62585        99.0
 18  2.70784        84.0
 19  2.80507        69.0
 20  2.87772        59.5
 21  2.96251        50.0
 22  3.00720        45.6
 23  3.06336        40.6
 24  3.12129        36.0
 25  3.17782        32.0
 26  3.23492        28.4
 27  3.29200        25.2
 28  3.34831        22.4
 29  3.40506        19.9
 30  3.46168        17.7
 31  3.51724        15.8
 32  3.57388        14.1
 33  3.63106        12.6
 34  3.68789        11.3
 35  3.74294        10.2
 36  3.80027         9.2
 37  3.85260         8.4
 38  3.90443         7.7
 39  3.96343         7.0
 40  4.01105         6.5
 41  4.06435         6.0
 42  4.11198         5.6
 43  4.16501         5.2
 44  4.20904         4.9
 45  4.25745         4.6
 46  4.31111         4.3
 47  4.37106         4.0
