pressure (hPa),uncertainty
0.00001062859255916516,74.99262095561234
0.000012058219628673559,65.18436506379842
0.000014267890392657348,55.514246278531004
0.000016037917816808925,49.44433392144426
0.00001851946578954538,43.40061892379253
0.000021547523944910684,37.338441771194624
0.000025297703932384,31.5253377378121
0.000028622930201941408,27.556271790807727
0.00003295457557551116,24.482649415033137
0.000037207907897288854,21.34608870634677
0.0000420607251390423,18.76259090800699
0.00004876180195493796,16.485084539456132
0.00005598954426254643,14.19735890004468
0.00006318743416371568,12.378813546152788
0.00007421816198576954,10.810242433085138
0.00008635333441628864,9.307976973156181
0.00010174867726324026,7.990725502048606
0.00011543465332192045,7.0742926936136925
0.00012823573403006946,6.364803876391011
0.00014548442200330224,5.612830309042466
0.00016856154205974004,4.952041603469464
0.0001933141776773103,4.249472890549619
0.00023467982675966174,3.518329790372287
0.0002772403038207542,3.021853373750293
0.00033134676644700265,2.5310816351020646
0.0003799429152655093,2.2492327365944633
0.00042887771895433306,1.9997208275420666
0.0004990021323306234,1.733830632562984
0.0005685082176804334,1.5317226464609668
0.0006733952518729303,1.3383921943462762
0.0007993128781068617,1.1526124888932665
0.0009378633310146472,1.0124967198194759
0.001085715844528247,0.8896271039428495
0.0012696306266079247,0.7804586328272057
0.0014959843501525251,0.6895462171632525
0.0017405879290708483,0.6147328682494257
0.0020732105364503635,0.5471112077911117
0.0024209078073529184,0.48739203593633884
0.0029324684509117378,0.42749356079158385
0.003599400533654281,0.3834610657974896
0.004348648719830826,0.339713978362383
0.005628660763747123,0.3026746692843544
0.007429873554063625,0.2654401258376283
0.009807487668278684,0.2409038474364704
0.012945955764056192,0.21975672760794168
0.017088756704428727,0.2058324524682861
0.022387127301358715,0.1954089284637264
0.030077917039717725,0.18610614431083933
0.0393042497396797,0.17964516236467165
0.05201301240325681,0.17366906297871737
0.0688310673064483,0.1700323875364644
0.09085751445032883,0.1682427076220096
0.10518104266477131,0.16672984376629613
